name,category,source,description
Molecule standardisers,Transform,RDKit,Two cells performing molecular standardisation using the MolVS and Flatkinson standardisers.
MoleculeEnumerator,Transform,RDKit,Enumerates potential variants of a structure using RDKit
Molecules From Field,Input/Output,Squonk,Creates a new dataset containing molecules present in the specified field of the input.
Molfile Upload,Input/Output,Squonk,Allows a dataset to be created from a file in molfile format. The dataset will contain a single structure.
NGL Viewer,Visual,PDB/RCSB,NGL 3D viewer from Alexander Rose
PAINS filter (RDKit),Molecular Properties,RDKit,"Filter molecules using PAINS (Pan Assay Interference Compounds) filters, implemented with RDKit"
PDB Upload,Input/Output,Squonk,Allows  file in PDB format to be uploaded
PLI score,3D,Commercial Open Source,Scores docked structures using the Astex PLI scoring algorithm.
PSA (OpenChemLib),Molecular Properties,OpenChemLib,Calculate the polar surface area for structures using OpenChemLib
Parallel Coordinate Plot,Visual,Squonk,Display and filter data using a parallel coordinate plot
Pharmacophore Screen (CXN),Molecular Screening,ChemAxon,Filter molecules with a 2D pharmacophore similarity using ChemAxon's Screen
RDKit Butina Clustering,Clustering,RDKit,Cluster molecules using the Butina algorithm from RDKit.
RDKit Cluster Matrix,Clustering,RDKit,Generates a clustered distance matrix from a dataset of molecules using Butina clustering from RDKit.
RDKit Conformers,Molecular Properties,RDKit,Generate 3D conformers of molecules using RDKit
RDKit Constrained Conformers,Molecular Properties,RDKit,"Generate conformers of a molecule, constraining a part of a molecule to fixed coordinates."
RDKit Diverse Subset Picker,Clustering,RDKit,Cluster molecules using the Butina algorithm from RDKit and then pick a diverse subset of the molecules
RDKit MaxMin Picker,Clustering,RDKit,Picks diverse subset of compounds using the MaxMinPicker algorithm as implemented in RDKit
RDKit Multi-Similarity Screening,Molecular Screening,RDKit,Virtual screening using molecular similarity
RDKit Open3D Align,Molecular Screening,RDKit,Performs 3D alignment of molecules using Open3DAlign
RDKit Similarity Screening,Molecular Screening,RDKit,Virtual screening using molecular similarity
REOS Filter (RDKit),Molecular Properties,RDKit,Rapid Elimination Of Swill filter - a drug-like structure filter using RDKit
REOS filter (CXN),Molecular Properties,ChemAxon,Apply a drug likeness filter to molecules using ChemAxon's property calculators
Ring Count (RDKit),Molecular Properties,RDKit,Calculate the number of rings and aromatic rings for structures using RDKit
Rotatable bonds (RDKit),Molecular Properties,RDKit,Calculate the number of rotatable rings for structures using RDKit
Rule of 3 filter (CXN),Molecular Properties,ChemAxon,Astex rule of 3 filter for filtering fragment libraries implemented with ChemAxon
Rule of 3 filter (RDKit),Molecular Properties,RDKit,Astex rule of 3 filter for filtering fragment libraries implemented with RDKit
SDF Export (CDK),Input/Output,CDK,Export structures to SDF using Chemistry Development Kit
SDF Upload,Input/Output,Squonk,Allows a MDL SD file to be uploaded into the system. Structures and data are handled.
SMARTCyp,Molecular Properties,Academic Open Source,SMARTCyp metabolic site prediction
SMoG2016,3D,Academic Open Source,Scores docked structures using the SMoG 2016 scoring algorithm.
Scatter Plot,Visual,Squonk,Displays data as a scatter plot using the D3 Javascript library
Smiles Structures,Input/Output,Squonk,Read structures from smiles strings
Smiles deduplicator,Filter,Squonk,De-duplicate a set of structures using a canonical smiles field
SphereEx Clustering (CXN),Clustering,ChemAxon,Cluster molecules using sphere exclusion clustering and ECFP fingerprints using ChemAxon's JKulstor
TPSA (RDKit),Molecular Properties,RDKit,Calculate topological polar surface area for structures using RDKit
Table Display,Visual,Squonk,Displays data as a familiar table/spreadsheet
Tmax Cmax Simulation,DMPK,Other,Simulator for Pharmacokinetic profiling of a compound
Transform Values,Transform,Squonk,Convert data types e.g. convert from text to numbers
Trusted Groovy Script,Programming,Squonk,"Process a dataset using a Groovy script. The script is trusted and executed ""in process"""
Untrusted Groovy Script,Programming,Squonk,Process a dataset using a Groovy script. The script is not trusted and executed in its own safe sandbox.
Veber filter (CXN),Molecular Properties,ChemAxon,Veber filter for orally active drugs implemented using ChemAxon
Veber filter (RDKit),Molecular Properties,RDKit,Veber filter for orally active drugs implemented using RDKit
Verify structure (CDK),Input/Output,CDK,Verify that the molecules are valid according to CDK
Verify structure (CXN),Input/Output,ChemAxon,Verify that the molecules are valid according to ChemAxon's Marvin
Verify structure (OCL),Input/Output,OpenChemLib,Verify that the molecules are valid according to OpenChemLib
Verify structure (RDKit),Input/Output,RDKit,Verify that the molecules are valid according to RDKit
Wiener Numbers (CDK),Molecular Properties,CDK,Wiener path and polarity numbers using Chemistry Development Kit
XChem Reaction Maker,Transform,RDKit,Enumerate input molecules using a specified reaction and some reactions
XChem Reaction Smarts Filter,Molecular Screening,RDKit,Filter a set of molecules according to whether they contain a substructure fragment compatible with a set of reaction types
ZipFileUpload,Input/Output,Squonk,Cell that allows a zip file to be uploaded.
pKa (CXN),Molecular Properties,ChemAxon,Acidic and basic pKa predictors using ChemAxon's property calculators
rDock Docking,3D,Commercial Open Source,Ligand docking using rDock
